ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
35702743,192671,1,1
35702744,192671,1,1
441840,192671,2,7
4180628,192671,4,4
35702738,192671,2,5
4274025,192671,6,6
4309188,192671,2,2
4047779,192671,5,5
35702118,192671,3,3
437312,192671,1,1
35702767,192671,2,2
35702114,192671,2,2
4042140,192671,4,6
36313966,192671,2,7
500000503,192671,1,1
4304916,192671,2,2
35707763,192671,1,4
36303153,192671,3,8
4201745,192671,3,3
36300000,192671,5,10
35700000,192671,3,7
37604042,192671,1,1
35707858,192671,0,0
35707864,192671,0,0
37622518,192671,1,1
37622515,192671,1,1
4302537,192671,3,4
4000610,192671,1,1
37600000,192671,3,4
36302170,192671,4,9
37604043,192671,2,2
37602361,192671,2,3
35702113,192671,3,6
192671,192671,0,0
9201,9201,0,0
